CM,TN,FP,FN,TP,Precision,Recall,F1,Accuracy
30S1,39,0,1,17,1.00,0.94,0.97,0.98
30S2,66,3,3,42,0.93,0.93,0.93,0.95
30S3,101,3,5,62,0.95,0.93,0.94,0.95
30S4,136,4,9,79,0.95,0.90,0.92,0.94
25S1,39,0,1,17,1.00,0.94,0.97,0.98
25S2,66,3,3,42,0.93,0.93,0.93,0.95
25S3,100,4,4,63,0.94,0.94,0.94,0.95
25S4,136,4,9,79,0.95,0.90,0.92,0.94
20S1,39,0,1,17,1.00,0.94,0.97,0.98
20S2,65,4,3,42,0.91,0.93,0.92,0.94
20S3,99,5,4,63,0.93,0.94,0.93,0.95
20S4,136,4,8,80,0.95,0.91,0.93,0.95
15S1,39,0,1,17,1.00,0.94,0.97,0.98
15S2,66,3,3,42,0.93,0.93,0.93,0.95
15S3,100,4,4,63,0.94,0.94,0.94,0.95
15S4,136,4,8,80,0.95,0.91,0.93,0.95
10S1,37,2,1,17,0.89,0.94,0.92,0.95
10S2,64,5,3,42,0.89,0.93,0.91,0.93
10S3,98,6,5,62,0.91,0.93,0.92,0.94
10S4,136,4,10,78,0.95,0.89,0.92,0.94